sample,treatment,replica,sample_type,broth,incub,density,qPCR_16S
135,T0,5,original_soil,T0,T0,T0,263659749.483523
136,T0,6,original_soil,T0,T0,T0,218322635.647168
137,T0,7,original_soil,T0,T0,T0,232079476.200917
138,T0,8,original_soil,T0,T0,T0,251141111.534549
139,T0,9,original_soil,T0,T0,T0,290189827.010479
140,T0,10,original_soil,T0,T0,T0,214040458.180829
141,susp_C,1,suspension,C,C,suspension,2829803.04596018
142,susp_C,2,suspension,C,C,suspension,2301941.1228538
143,susp_C,3,suspension,C,C,suspension,2525233.80117209
180,susp_MAC_a1,1,suspension,MAC,4_cycles,suspension,1232748029.48662
181,susp_MAC_a1,2,suspension,MAC,4_cycles,suspension,1270472678.64267
182,susp_MAC_a1,3,suspension,MAC,4_cycles,suspension,1182041485.29731
183,susp_MAC_a2,1,suspension,MAC,7_cycles,suspension,693053020.665285
184,susp_MAC_a2,2,suspension,MAC,7_cycles,suspension,1352117708.38506
185,susp_MAC_a2,3,suspension,MAC,7_cycles,suspension,283877827.212814
186,susp_PEB_a1,1,suspension,PEB,4_cycles,suspension,1851495031.64222
187,susp_PEB_a1,2,suspension,PEB,4_cycles,suspension,1782200759.71512
188,susp_PEB_a1,3,suspension,PEB,4_cycles,suspension,1890190092.73403
189,susp_PEB_a2,1,suspension,PEB,7_cycles,suspension,1818849047.02482
190,susp_PEB_a2,2,suspension,PEB,7_cycles,suspension,1708171665.63666
191,susp_PEB_a2,3,suspension,PEB,7_cycles,suspension,1180189115.29001
