sample,observed_species,PD_whole_tree,simpson_reciprocal
36,863,67.743300619,58.4631855494
47,914,70.064764976,67.2767829924
47,901,68.969742607,67.7871314604
47,901,68.774356528,66.687367537
47,884,68.237556079,65.5583212972
47,900,69.520081338,66.1716202328
47,915,69.563931132,68.1884045618
47,900,69.590570283,65.2524556334
47,908,69.51574367,65.5033007523
47,884,67.295785143,63.5093269401
47,920,69.698025077,65.3534703714
50,884,68.722625793,65.0868197156
50,867,67.711821741,66.167652289
50,881,69.34431518,67.2297155343
50,874,66.966253757,68.7559892913
50,866,68.389756745,66.7637522898
50,872,68.407384592,67.2981476185
50,869,67.671012037,65.4955248136
50,898,68.803769232,68.919620339
50,881,68.307648813,67.7674644168
50,869,68.447063295,66.2901936088
51,935,75.622317197,30.4575388595
51,942,75.981299755,30.525001407
51,948,75.466896275,30.6078918623
51,939,74.739262505,30.1179021752
51,944,76.124526795,30.0117796235
51,948,76.461203029,30.316351124
51,937,75.42646781,30.1602830543
51,960,77.082042735,30.6593582421
51,945,76.292705206,30.262222155
51,952,76.910105866,30.2063471087
53,916,74.522726694,42.4238888918
53,908,74.216791387,41.9054403738
53,916,74.540590731,42.3750696871
53,910,73.954937374,41.8184217989
53,915,74.501750166,41.6244460372
53,920,74.015074547,40.6321344314
53,906,74.950974415,41.9618750139
53,924,75.696331262,41.912136445
53,921,73.402748704,42.4519165714
53,912,74.188015707,42.4220891818
55,920,69.853626785,51.3507658485
55,914,69.717821497,51.6117377995
55,927,71.181862242,50.5838482611
55,917,69.381876821,50.7952633417
55,923,69.979061545,50.9011896562
55,924,69.832870071,51.4239616377
55,927,70.094480781,51.072849035
55,924,70.011116662,51.6126534872
55,901,68.612052891,51.8494034078
55,906,69.368821073,51.6715754663
72,847,67.821660537,44.4470371883
72,848,66.869222873,45.6952895296
72,843,67.095203896,45.1951228813
72,827,65.854996676,44.3591147584
72,844,67.137905334,45.030085726
72,837,66.710596577,45.4042396209
72,837,66.881673438,46.2532015888
72,854,68.475739195,45.813635856
72,831,67.053724022,44.8146633579
72,838,66.138217268,44.6200117964
89,846,68.230300443,33.8531197766
89,858,67.445819007,33.313553411
89,868,69.417780413,34.5118407969
89,866,69.6510472,33.9923241083
89,856,67.776208351,34.2903557303
89,854,67.477197252,34.2758477381
89,875,70.032328958,34.0547984275
89,848,68.698627647,33.2813312533
89,861,68.772484189,33.8470683679
89,864,68.891807231,33.6759156166
98,930,75.420332736,49.8241363687
98,925,75.064413505,49.9058027972
98,927,75.323487091,49.8784990936
98,927,74.885307613,50.1448716683
98,921,75.055658996,49.504950495
98,928,75.231187404,50.0767582811
98,926,75.418931647,49.4203151472
98,928,75.122111895,49.798549306
98,923,74.835004403,49.2624487748
98,932,75.567267014,49.3616154823
100,917,72.870132538,39.6247535836
100,905,73.435393829,38.1764084112
100,903,73.315396087,37.2010402341
100,902,73.350051456,37.6388225635
100,904,73.219138033,38.074886162
100,911,73.265996118,39.0817737263
100,908,73.542330891,37.8917952422
100,915,72.692075544,38.2463110238
100,911,72.317758781,38.2339727965
100,904,72.826181034,39.2531595727
101,924,74.969005105,55.5085274975
101,922,74.807686595,55.1674677443
101,927,74.342485529,54.2212055746
101,923,72.812103657,55.1069505363
101,914,71.969552735,53.0722180207
101,925,74.755094799,55.8320015075
101,928,75.599198691,54.222675584
101,934,75.627063651,55.5518906739
101,929,73.973427555,54.6221427925
101,934,75.112039048,54.9335475742
103,970,77.304558959,61.6679642634
103,962,76.961511442,62.2629871836
103,943,76.482106423,60.9935080035
103,951,75.898631845,62.4687656172
103,955,77.937363595,61.203490129
103,947,77.124174017,62.1376115079
103,950,75.866717548,63.615381404
103,970,77.905975566,62.4693753648
103,944,75.468373621,60.6268436718
103,948,77.797737901,61.0814081555
106,938,73.549845657,64.4631029315
106,930,71.70321241,64.1493396627
106,917,72.724975508,64.9170177933
106,935,73.54553423,65.1769656456
106,914,72.479528327,63.1023065865
106,920,71.857367523,64.0030721475
106,919,72.879707875,62.9580443657
106,921,72.387075332,64.4447979958
