source,target,value,edge_name
OTU-2147,OTU-17126,-0.0398047535045651,OTU-17126__OTU-2147
OTU-2667,OTU-2461,-0.00547286688676827,OTU-2461__OTU-2667
OTU-66662,OTU-2461,-0.00586394740941739,OTU-2461__OTU-66662
OTU-2147,OTU-373,-0.008592918155906,OTU-2147__OTU-373
OTU-222,OTU-45,0.0322454913566932,OTU-222__OTU-45
OTU-26710,OTU-45,-0.236811431215035,OTU-26710__OTU-45
OTU-38,OTU-45,0.333515503582083,OTU-38__OTU-45
OTU-23709,OTU-45,-0.061720486179294,OTU-23709__OTU-45
OTU-59018,OTU-45,0.0740944187868973,OTU-45__OTU-59018
OTU-98,OTU-45,0.0671239124696108,OTU-45__OTU-98
OTU-198,OTU-45,0.00222204328146376,OTU-198__OTU-45
OTU-4225,OTU-45,-0.0652281382600623,OTU-4225__OTU-45
OTU-31,OTU-45,-0.0182488248243779,OTU-31__OTU-45
OTU-773,OTU-45,-0.00373617671690473,OTU-45__OTU-773
OTU-56220,OTU-45,-0.0620487580047853,OTU-45__OTU-56220
OTU-128,OTU-45,-0.0500608508756551,OTU-128__OTU-45
OTU-52,OTU-45,-0.0837401385380909,OTU-45__OTU-52
OTU-4,OTU-45,-0.0372396803821435,OTU-4__OTU-45
OTU-16154,OTU-45,-0.0642951915569817,OTU-16154__OTU-45
OTU-2147,OTU-45,-0.198278718178386,OTU-2147__OTU-45
OTU-715,OTU-45,-0.115008777481945,OTU-45__OTU-715
OTU-2390,OTU-45,-0.0343506778875126,OTU-2390__OTU-45
OTU-222,OTU-53752,0.1056533961801,OTU-222__OTU-53752
OTU-219,OTU-53752,0.019112420434994,OTU-219__OTU-53752
OTU-150,OTU-5733,-0.0316045792024651,OTU-150__OTU-5733
OTU-219,OTU-5733,0.153722815424386,OTU-219__OTU-5733
OTU-38,OTU-5733,0.0225678423579271,OTU-38__OTU-5733
OTU-23709,OTU-5733,-0.0121617585365181,OTU-23709__OTU-5733
OTU-773,OTU-5733,-0.00113469614270056,OTU-5733__OTU-773
OTU-10847,OTU-5733,0.159730532956975,OTU-10847__OTU-5733
OTU-45,OTU-5733,0.0547326600412506,OTU-45__OTU-5733
OTU-222,OTU-60945,0.0791939166143645,OTU-222__OTU-60945
OTU-23709,OTU-60945,-0.0085339548610256,OTU-23709__OTU-60945
OTU-98,OTU-60945,0.164695391182052,OTU-60945__OTU-98
OTU-70210,OTU-60945,0.0677032978398488,OTU-60945__OTU-70210
OTU-4225,OTU-60945,-0.0686892743089652,OTU-4225__OTU-60945
OTU-56220,OTU-60945,-0.0561771504907592,OTU-56220__OTU-60945
OTU-52,OTU-60945,-0.0578645589363629,OTU-52__OTU-60945
OTU-16154,OTU-60945,-0.0249182068198814,OTU-16154__OTU-60945
OTU-2667,OTU-60945,-0.0185066632196859,OTU-2667__OTU-60945
OTU-2147,OTU-60945,-0.0360321112982269,OTU-2147__OTU-60945
OTU-66662,OTU-60945,-0.0593435481587608,OTU-60945__OTU-66662
OTU-104,OTU-60945,0.00886389594605779,OTU-104__OTU-60945
OTU-227,OTU-60945,0.0828032894181782,OTU-227__OTU-60945
OTU-45,OTU-60945,0.143769224264656,OTU-45__OTU-60945
OTU-53752,OTU-60945,0.163818602145084,OTU-53752__OTU-60945
OTU-23709,OTU-167,-0.0219995190567733,OTU-167__OTU-23709
OTU-2147,OTU-167,-0.0506833330768255,OTU-167__OTU-2147
OTU-45,OTU-167,0.0771246992895848,OTU-167__OTU-45
OTU-60945,OTU-167,0.213872596700908,OTU-167__OTU-60945
OTU-60945,OTU-1673,-0.02552652928115,OTU-1673__OTU-60945
OTU-120,OTU-4417,0.0169891998279646,OTU-120__OTU-4417
