OTU,range,color,taxa
OTU-861,range,#7d092f,Verrucomicrobia
OTU-28,range,#7d092f,Verrucomicrobia
OTU-88,range,#c5c35e,Cyanobacteria
OTU-7936,range,#c5c35e,Cyanobacteria
OTU-225,range,#c5c35e,Cyanobacteria
OTU-548,range,#322D2F,Others
OTU-1019,range,#322D2F,Others
OTU-605,range,#b32d45,Planctomycetes
OTU-15,range,#b32d45,Planctomycetes
OTU-552,range,#b32d45,Planctomycetes
OTU-3055,range,#b32d45,Planctomycetes
OTU-1130,range,#ef5659,Gemmatimonadetes
OTU-142,range,#ef5659,Gemmatimonadetes
OTU-1664,range,#ef5659,Gemmatimonadetes
OTU-4113,range,#ef5659,Gemmatimonadetes
OTU-182,range,#ef5659,Gemmatimonadetes
OTU-661,range,#ef5659,Gemmatimonadetes
OTU-6476,range,#ef5659,Gemmatimonadetes
OTU-1096,range,#ef5659,Gemmatimonadetes
OTU-220,range,#ef5659,Gemmatimonadetes
OTU-874,range,#ef5659,Gemmatimonadetes
OTU-637,range,#ef5659,Gemmatimonadetes
OTU-2672,range,#ef5659,Gemmatimonadetes
OTU-613,range,#ef5659,Gemmatimonadetes
OTU-195,range,#ef5659,Gemmatimonadetes
OTU-281,range,#ef5659,Gemmatimonadetes
OTU-254,range,#ef5659,Gemmatimonadetes
OTU-9815,range,#ef5659,Gemmatimonadetes
OTU-131,range,#ef5659,Gemmatimonadetes
OTU-310,range,#6d597a,Acidobacteria
OTU-1097,range,#577590,Actinobacteria
OTU-1071,range,#577590,Actinobacteria
OTU-42709,range,#577590,Actinobacteria
OTU-3827,range,#577590,Actinobacteria
OTU-1360,range,#577590,Actinobacteria
OTU-413,range,#577590,Actinobacteria
OTU-1090,range,#577590,Actinobacteria
OTU-191,range,#577590,Actinobacteria
OTU-149,range,#577590,Actinobacteria
OTU-5,range,#577590,Actinobacteria
OTU-10108,range,#577590,Actinobacteria
OTU-70712,range,#577590,Actinobacteria
OTU-65,range,#577590,Actinobacteria
OTU-976,range,#322D2F,Others
OTU-139,range,#322D2F,Others
OTU-580,range,#6d597a,Acidobacteria
OTU-1034,range,#6d597a,Acidobacteria
OTU-18608,range,#6d597a,Acidobacteria
OTU-424,range,#6d597a,Acidobacteria
OTU-104,range,#ffd673,Deltaproteobacteria
OTU-687,range,#4d908e,Alphaproteobacteria
OTU-1656,range,#4d908e,Alphaproteobacteria
OTU-740,range,#4d908e,Alphaproteobacteria
OTU-334,range,#4d908e,Alphaproteobacteria
OTU-86,range,#4d908e,Alphaproteobacteria
OTU-190,range,#4d908e,Alphaproteobacteria
OTU-3075,range,#4d908e,Alphaproteobacteria
OTU-227,range,#4d908e,Alphaproteobacteria
OTU-547,range,#4d908e,Alphaproteobacteria
OTU-229,range,#4d908e,Alphaproteobacteria
OTU-181,range,#4d908e,Alphaproteobacteria
OTU-136,range,#4d908e,Alphaproteobacteria
OTU-19704,range,#4d908e,Alphaproteobacteria
OTU-6,range,#4d908e,Alphaproteobacteria
OTU-14931,range,#4d908e,Alphaproteobacteria
OTU-350,range,#4d908e,Alphaproteobacteria
OTU-70124,range,#4d908e,Alphaproteobacteria
OTU-10407,range,#4d908e,Alphaproteobacteria
OTU-10847,range,#4d908e,Alphaproteobacteria
OTU-2390,range,#4d908e,Alphaproteobacteria
OTU-148,range,#4d908e,Alphaproteobacteria
OTU-2445,range,#4d908e,Alphaproteobacteria
OTU-5369,range,#4d908e,Alphaproteobacteria
OTU-23,range,#4d908e,Alphaproteobacteria
OTU-1551,range,#4d908e,Alphaproteobacteria
OTU-54534,range,#4d908e,Alphaproteobacteria
OTU-569,range,#4d908e,Alphaproteobacteria
OTU-60671,range,#4d908e,Alphaproteobacteria
OTU-19152,range,#4d908e,Alphaproteobacteria
OTU-1313,range,#4d908e,Alphaproteobacteria
OTU-17126,range,#4d908e,Alphaproteobacteria
OTU-2461,range,#4d908e,Alphaproteobacteria
OTU-16,range,#4d908e,Alphaproteobacteria
OTU-168,range,#4d908e,Alphaproteobacteria
OTU-35999,range,#4d908e,Alphaproteobacteria
OTU-100,range,#4d908e,Alphaproteobacteria
OTU-373,range,#4d908e,Alphaproteobacteria
OTU-15981,range,#4d908e,Alphaproteobacteria
OTU-45,range,#4d908e,Alphaproteobacteria
OTU-53752,range,#4d908e,Alphaproteobacteria
OTU-5733,range,#4d908e,Alphaproteobacteria
OTU-60945,range,#4d908e,Alphaproteobacteria
OTU-2864,range,#4d908e,Alphaproteobacteria
OTU-10822,range,#4d908e,Alphaproteobacteria
OTU-26284,range,#4d908e,Alphaproteobacteria
OTU-167,range,#4d908e,Alphaproteobacteria
OTU-1673,range,#4d908e,Alphaproteobacteria
OTU-757,range,#4d908e,Alphaproteobacteria
OTU-30,range,#4d908e,Alphaproteobacteria
OTU-27,range,#4d908e,Alphaproteobacteria
OTU-261,range,#4d908e,Alphaproteobacteria
OTU-67734,range,#4d908e,Alphaproteobacteria
OTU-52161,range,#4d908e,Alphaproteobacteria
OTU-5326,range,#4d908e,Alphaproteobacteria
OTU-776,range,#4d908e,Alphaproteobacteria
OTU-4417,range,#4d908e,Alphaproteobacteria
OTU-1408,range,#4d908e,Alphaproteobacteria
OTU-412,range,#4d908e,Alphaproteobacteria
OTU-589,range,#4d908e,Alphaproteobacteria
OTU-512,range,#4d908e,Alphaproteobacteria
OTU-47,range,#4d908e,Alphaproteobacteria
